lemma,count
πιπληρώσκω,1
συμφιλοσοφέω,23
κατασκαίρω,1
ὑπονομενσάομαι,1
ἀρᾶμαι,2
καταπεπόμφα,1
ὑλακτέω,61
προδιατίθημι,1
καταίδομαι,1
προελειιμά,1
ὑφελκύω,1
διατέθει,1
ἐξεύρω,1
ἀνακτήζομαι,1
ἀπορχέω,1
ἐπιξενόω,6
σίτεομαι,1
πήρω,1
ἐκακράζω,2
συναμαρτέω,1
ὕπω,1
προσκάθημαι,50
ἐκπικρόομαι,1
δυσιητοτραίνω,1
σφίγγνυμι,1
τμήγω,5
περιστεναχίζω,1
ῥηίω,2
ὑπερθρασύνω,1
πρίνω,1
ῥυσιάζω,3
δέͅρκω,1
ἀντιδρομέω,1
ἐπαυγάζομαι,1
ᾁθω,1
ἀνδροκτονέω,1
προαπαλλαξείω,1
παραραίνω,1
αὑήνω,1
ὑπενθύνω,1
ἀναιρύζω,2
προσελοιδορέω,1
ἐξακριβόω,25
ἀνωμολογέομαι,1
ἀμφιαννύω,1
κατίσχω,17
ψυγ́ω,1
ἀρχομαι,1
ἔμπεπλησμαι,1
ἁδύνω,1
τίθει,5
ἐπιχειμάζω,1
ἐξαγ́ζομαι,1
ἐνίχεαμαι,1
μελανόομαι,2
ξύνοιδα,2
συναναγκάζω,94
δολοψονέω,1
ἡσμέομαι,2
δαιμονάω,15
συναυξέω,6
ὑπεστορέζω,1
παρεκλέγω,5
φανείω,1
ἐπαινέομαι,1
ἀποφραδάω,2
ἐπεισάσσω,3
ἀπομασέω,1
εἰσιδρύω,1
κεχαιρίζω,3
ἀμηχανούω,1
κατεσταλιτεύω,1
..α,1
διαιτάω,441
προσσυνιλαμβάνω,1
περιίστημι,645
ἑτοιμάζω,232
ξηρτύω,2
ἀντιδιαβαίνω,2
προσαπαγγέλλω,2
συνινίστημι,2
περιηγγαιρέω,1
καταστρατεύω,1
συναναποληρέω,1
ἐνδιαθρύπτομαι,1
φλυκταινόω,8
παραθλίβω,2
ὁμοζύγω,1
∠Ω,2
ὑλίζω,1
ἐλήι,1
κιναίνω,2
κατενέσκω,1
συνανακράω,1
προσερυγγάνω,1
ὑπερσυμμαχέω,2
κατακτενίζομαι,1
ὀρροποτέω,4
μετασκευωρέομαι,1
παρακονάω,2
μεμαράζω,1
ἀπωλνέομαι,1
ἀνορθ́ωκα,1
πεπιστέυκω,6
βούλω,3
κορύω,1
κεαθαρ́ννυμι,1
δισκέμνυμι,1
ἀναβιώσκομαι,10
λογογραφέω,1
ὑπαγανακτέω,1
ἠμείζω,1
ἀσκέομαι,16
καταγνώννυμι,1
ἐξετραγοιδέω,3
εὕρεζω,1
ἀπεισωθέω,3
ἀσβολόω,1
αὔφρηανα,1
παραδεδοιπνέω,2
ὁμοδοξόω,1
ὠδίνω,55
